"Terms and Conditions","ഉപാധികളും നിബന്ധനകളും"
"Add New Condition","പുതിയ കണ്ടീഷൻ ചേർക്കുക"
"Save Condition","കണ്ടിഷൻ സേവ് ചെയ്യുക"
"Delete Condition","കണ്ടിഷൻ ഇല്ലാതാക്കുക"
"Edit Terms and Conditions","നിബന്ധനകളും വ്യവസ്ഥകളും എഡിറ്റുചെയ്യുക"
"New Terms and Conditions","പുതിയ നിബന്ധനകളും വ്യവസ്ഥകളും"
"Terms and Conditions Information","നിബന്ധനകളും വിവരങ്ങളും"
"Condition Name","വ്യവസ്ഥയുടെ പേര്"
"Status","സ്റ്റാറ്റസ്"
"Enabled","പ്രവർത്തനക്ഷമമാക്കി"
"Disabled","പ്രവർത്തനരഹിതമാക്കി"
"Show Content as","ഉള്ളടക്കം ഇതായി കാണിക്കുക"
"Text","ടെക്സ്റ്റ്"
"HTML","HTML"
"Applied","പ്രയോഗിച്ചു"
"Store View","സ്റ്റോർ വ്യൂ"
"Checkbox Text","ചെക്ക്ബോക്സ് ടെക്സ്റ്റ്"
"Content","ഉള്ളടക്കം"
"Content Height (css)","ഉള്ളടക്ക ഉയരം (css)"
"Content Height","ഉള്ളടക്ക ഉയരം"
"ID","ഐഡി"
"Condition","വ്യവസ്ഥ"
"Sales","വിൽപ്പന"
"Checkout Conditions","ചെക്ക് ഔട്ട് വ്യവസ്ഥകൾ"
"Checkout Terms and Conditions","ചെക്ക് ഔട്ട് നിബന്ധനകളും വ്യവസ്ഥകളും"
"This condition no longer exists.","ഈ നിബന്ധന നിലവിലില്ല."
"You deleted the condition.","നിങ്ങൾ നിബന്ധന ഇല്ലാതാക്കി."
"Something went wrong  while deleting this condition.","ഈ നിബന്ധന ഇല്ലാതാക്കുമ്പോൾ എന്തോ തെറ്റായി സംഭവിച്ചു."
"Edit Condition","നിബന്ധന എഡിറ്റുചെയ്യുക"
"New Condition","പുതിയ നിബന്ധന"
"You saved the condition.","നിങ്ങൾ നിബന്ധന സേവ് ചെയ്തു."
"Something went wrong while saving this condition.","ഈ നിബന്ധന സേവ് ചെയുമ്പോൾ എന്തോ തെറ്റായി സംഭവിച്ചു."
"Automatically","ഓട്ടോമാറ്റിയ്ക്കായി"
"Manually","Manually"
"Please agree to all the terms and conditions before placing the order.","ഓർ‌ഡർ‌ നൽ‌കുന്നതിന് മുമ്പ് ദയവായി എല്ലാ നിബന്ധനകളും വ്യവസ്ഥകളും അംഗീകരിക്കുക."
"Unable to save checkout agreement %1","Unable to save checkout agreement %1"
"Unable to remove checkout agreement %1","Unable to remove checkout agreement %1"
"Checkout agreement with specified ID ""%1"" not found.","Checkout agreement with specified ID ""%1"" not found."
"Close","അടയ്ക്കുക"
"Terms & Conditions","ഉപാധികളും നിബന്ധനകളും"
"Enable Terms and Conditions","നിബന്ധനകളും വ്യവസ്ഥകളും പ്രവർത്തനക്ഷമമാക്കുക"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","ഓർഡർ നൽകിയിട്ടില്ല. ആദ്യം, നിബന്ധനകളും വ്യവസ്ഥകളും അംഗീകരിക്കുക, തുടർന്ന് നിങ്ങളുടെ ഓർഡർ വീണ്ടും നൽകാൻ ശ്രമിക്കുക."
"The ""%1"" checkout agreement couldn't be saved.","The ""%1"" checkout agreement couldn't be saved."
"The ""%1"" checkout agreement couldn't be removed.","The ""%1"" checkout agreement couldn't be removed."
"A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again.","A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again."
