"Unable to save address. Please check input data.","无法保存地址。请检查输入的数据。"
"Cart %1 doesn't contain products","车%1不包含产品"
"Could not apply coupon code","无法设置送货方式。 %1"
"Coupon code is not valid","优惠券代码无效"
"Could not delete coupon code","无法删除优惠券代码"
"Cannot assign customer to the given cart. You don't have permission for this operation.","不能将客户分配给给定的购物车。您没有权限执行此操作。"
"Shipping address is not set","运营商有这样的方法没有发现：%1%2"
"The requested Payment Method is not available.","付款方法不可用。"
"We found an invalid request for adding product to quote.","我们发现一个无效的请求添加产品报价。"
"Product that you are trying to add is not available.","您试图添加的产品不可用。"
"This is the wrong quote item id to update configuration.","这是要更新配置的错误报价项目 id。"
"This shipping method is not available. To use this shipping method, please contact us.","这种运输方法不可用。若要使用此航运的方法，请联系我们。"
"The address model is not defined.","未定义地址模型。"
"The address total model should be extended from
                    \Magento\Quote\Model\Quote\Address\Total\AbstractTotal.","地址总模型应该从 \Magento\Quote\Model\Quote\Address\Total\AbstractTotal 扩展。"
"Grand Total","总额"
"Shipping & Handling (%1)","航运及处理 (%1)"
"Shipping & Handling","运费和手续费"
"Shipping","运费"
"Subtotal","小计"
"We found an invalid item option format.","我们发现无效项目选项的格式。"
"An item option with code %1 already exists.","具有代码%1的产品选项已存在"
"Item qty declaration error","项目数量宣言错误"
"Some of the products below do not have all the required options.","一些下面的产品并没有所需的选项。"
"Something went wrong during the item options declaration.","项目选项声明期间，出了错。"
"We found an item options declaration error.","我们发现了一个项目选项声明错误。"
"Some of the selected options are not currently available.","某些选定的选项当前不可用。"
"Selected option(s) or their combination is not currently available.","所选的选项或它们的组合不是当前可用的。"
"Some item options or their combination are not currently available.","一些项目选项或它们的组合不是当前可用的。"
"Cart %1 does not contain item %2","购物车 %1 不包含项目 %2"
"Could not save quote","不能保存报价"
"Cart %1 doesn't contain item  %2","购物车 %1 不包含商品 %2"
"Could not remove item from quote","无法删除报价单中的商品"
"The qty value is required to update quote item.","更新引用项需数量值。"
"Minimum order amount is %1","最小起订量是 %1"
"Invalid customer id %1","无效的客户 id %1"
"Invalid address id %1","无效地址 id %1"
"Invalid customer address id %1","无效的客户 id %1"
"Cannot create quote","不能创建报价单"
"Cannot assign customer to the given cart. The cart belongs to different store.","无法将客户分配给给定的购物车。购物车属于不同的商店"
"Cannot assign customer to the given cart. The cart is not anonymous.","不能将客户分配给给定的购物车。购物车不是匿名的。"
"Cannot assign customer to the given cart. Customer already has active cart.","无法将客户分配给给定的购物车。顾客已经有活动的车。"
"An error occurred on the server. Please try to place the order again.","服务器上出现错误。请试着再次下订单。"
"Invalid state change requested","请求的状态更改无效"
"Only 1 shipping assignment can be set","只能设置1个发货任务。"
"This item price or quantity is not valid for checkout.","这个项目的价格或数量是无效的。"
"Please check the shipping address information. %1","请检查送货地址信息。%1"
"Some addresses cannot be used due to country-specific configurations.","一些地址因指定国家的设置无法使用"
"Please specify a shipping method.","请指定送货方式。"
"Please check the billing address information. %1","请检查送货地址信息。%1"
"Please select a valid payment method.","请选择有效的付款方法。"
"Store Credit","店铺信用"
"Discount","折扣"
"Tax","税"
"Cart contains virtual product(s) only. Shipping address is not applicable.","购物车只包含虚拟产品。送货地址是不适用的。"
"Shipping address not set.","送货地址未设置。"
"Cannot set shipping method. %1","不能设置送货方式。%1"
"Shipping method is not applicable for empty cart","送货方式不是适用于空购物车"
"Cart contains virtual product(s) only. Shipping method is not applicable.","购物车只包含虚拟产品。送货地址是不适用的。"
"Minimum Order Amount Exceeded.","已超出最低订单金额。"
"error345","error345"
"Carts","购物车"
"Manage carts","管理购物车"
"Unable to save address. Please, check input data.","无法保存地址。请检查输入的数据。"
"Cannot place order.","不能下订单。"
"Carrier with such method not found: %1, %2","承运人用这样的方法找不到: %1，%2"
"error123","error123"
"Cart isn't assigned to correct store","Cart isn't assigned to correct store"
"Something went wrong. Please try to place the order again.","Something went wrong. Please try to place the order again."
"Some addresses can't be used due to the configurations for specific countries.","Some addresses can't be used due to the configurations for specific countries."
"Please check the shipping address information.","Please check the shipping address information."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"Please check the billing address information.","Please check the billing address information."
"Enter a valid payment method and try again.","Enter a valid payment method and try again."
"Unable to place order. Please try again later.","无法下订单。请稍后再试。"
"The address failed to save. Verify the address and try again.","The address failed to save. Verify the address and try again."
"The ""%1"" Cart doesn't contain products.","The ""%1"" Cart doesn't contain products."
"The coupon code couldn't be applied. Verify the coupon code and try again.","The coupon code couldn't be applied. Verify the coupon code and try again."
"The coupon code isn't valid. Verify the code and try again.","The coupon code isn't valid. Verify the code and try again."
"The coupon code couldn't be deleted. Verify the coupon code and try again.","The coupon code couldn't be deleted. Verify the coupon code and try again."
"You don't have the correct permissions to assign the customer to the cart.","You don't have the correct permissions to assign the customer to the cart."
"The shipping address is missing. Set the address and try again.","The shipping address is missing. Set the address and try again."
"The %1 Cart doesn't contain the %2 item.","The %1 Cart doesn't contain the %2 item."
"The quote couldn't be saved.","The quote couldn't be saved."
"The item couldn't be removed from the quote.","The item couldn't be removed from the quote."
"The quote can't be created.","The quote can't be created."
"The customer can't be assigned to the cart. The cart belongs to a different store.","The customer can't be assigned to the cart. The cart belongs to a different store."
"The customer can't be assigned to the cart because the cart isn't anonymous.","The customer can't be assigned to the cart because the cart isn't anonymous."
"The customer can't be assigned to the cart because the customer already has an active cart.","The customer can't be assigned to the cart because the customer already has an active cart."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The Cart includes virtual product(s) only, so a shipping address is not used.","The Cart includes virtual product(s) only, so a shipping address is not used."
"The shipping method can't be set. %1","The shipping method can't be set. %1"
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The shipping method can't be set for an empty cart. Add an item to cart and try again."
"Current customer does not have an active cart.","Current customer does not have an active cart."
